BldgGroupName,DataType,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Atlantic City Outlet Center,Percent of Sales,0.04515089686229766,0.043537663972852025,0.09017188154944271,0.08397221983304858,0.09055607857236495,0.10592256038652896,0.10381778295807002,0.09900387263210572,0.09512448318480032,0.0709451251759177,0.08644348545467784,0.0853539494178935
Blowing Rock Outlet Center,Percent of Sales,0.03688777254479611,0.0354770095009151,0.0696946032149463,0.06452697942636658,0.07283090477751077,0.10569957410545612,0.10598357790858048,0.08961354494555028,0.09163179300700729,0.10749505849908099,0.1104090221852293,0.1097501598845606
Branson Outlet Center,Percent of Sales,0.03270132870825307,0.027519660745148014,0.0996245575120803,0.07058185300554352,0.07996171864930417,0.10553808114814797,0.10912636184369225,0.0894798242133129,0.06908824113426427,0.08352457246121511,0.11150464686770774,0.12134915371133065
Charleston Outlet Center,Percent of Sales,0.04502154821841056,0.04856617479108575,0.09231929986556181,0.084054290737169,0.0852920511194686,0.0945840174058613,0.08939509439518281,0.09361831010065748,0.06523010879223669,0.06707343322627496,0.10258583036890753,0.13225984097918358
Columbus Outlet Center,Percent of Sales,0.04264856504942896,0.03842279181184778,0.09492429605538012,0.07315220114855422,0.08491710070893427,0.08820182679464744,0.09020534637826264,0.10633191116134412,0.07182519221732953,0.07333117542231442,0.11145786560787135,0.12458172764408518
Commerce Outlet Center,Percent of Sales,0.04964919025365086,0.04992120846619354,0.0928919553764271,0.07757685153438712,0.07772755101308422,0.08516120703371595,0.10094951207247398,0.07534562773355705,0.06927798804154386,0.07101426864116789,0.10872220178293487,0.1417624380508636
Cookstown,Percent of Sales,2.384970156105382e-4,0.03687771778416115,0.08846248507551847,0.02235617986446313,2.575335219288461e-4,0.026496634554488502,0.13773105224968668,0.13883508517835372,0.12688317071562105,0.10859904797041253,0.15031309750068683,0.16294949856906862
Daytona Beach Outlet Center,Percent of Sales,0.04800199570562028,0.049873289169604554,0.08700827912645873,0.07705049626060885,0.08174637965449993,0.09481135128028317,0.1011586195051334,0.08711583505013223,0.06142300152890667,0.07033115666253655,0.10557074304625239,0.1359088530099633
Deer Park - The Arches,Percent of Sales,0.040661927584341014,0.03687336532622362,0.07482895470150962,0.06817230130001355,0.08540542813070119,0.09917240041225264,0.08592069635521143,0.0889855953069771,0.09807787764889614,0.07395990026033203,0.11243482772559905,0.13550672524794263
Foley Outlet Center,Percent of Sales,0.03951208628476642,0.041885975284088724,0.09554786197539002,0.07849430241288327,0.08715968682900403,0.10923089862364004,0.12330754551607676,0.08226818492039342,0.07152847596457286,0.07520592532273765,0.09528614995509824,0.10057290691134858
Fort Worth Outlet Center,Percent of Sales,0.05106246217806226,0.03691513182435071,0.09637961022220654,0.06989806709918928,0.08187187677014068,0.08822011930669395,0.09150356180964699,0.10150614574768764,0.07018919677003692,0.06786607613295877,0.10356310509656358,0.1410246470424627
